;name;address;e-mail;site;telephone;e_mail
12;Chutney Express;8 Hurst Lane Castle Bromwich, Birmingham B34 7HR England;;http://www.chutneyexpresstakeaway.co.uk/;tel:+44 121 749 3377;mailto:info@chutneyexpress.net?subject=?
13;Kee Wah House;2047 Coventry Road Sheldon, Birmingham B26 3DY England;;http://Keewahhouse.co.uk;tel:+44 121 743 0663;
14;Toby Carvery;2225 Coventry Road, Sheldon, Birmingham B26 3EH England;;http://www.tobycarvery.co.uk/sheldonbirmingham/;tel:+44 121 742 6201;
15;Poncho Khana;502 Coventry Road, Birmingham B10 0UN England;;https://en-gb.facebook.com/PonchoKhana;tel:+44 121 773 0777;mailto:iftikharsyed@hotmail.co.uk?subject=?
16;@Pizza;Unit 33 Grand Central Stephenson Place, Birmingham B2 4BF England;;http://www.atpizza.com;tel:+44 121 274 2836;mailto:grandcentral@atpizza.com?subject=?
17;Pangaea;27 Poplar Road, Birmingham B14 7AA England;;http://www.pangaeacuisine.co.uk;tel:+44 121 441 2222;
18;Brewer's Social;77 High Street, Birmingham B17 9NS England;;http://sadlersbars.co.uk;tel:+44 121 427 9570;mailto:harborne@sadlersales.co.uk?subject=?
19;Giraffe;Terminal 1, Birmingham B26 3QJ England;;https://www.trgconcessions.co.uk/our-locations/location/Birmingham%20Airport;tel:+44 121 767 5628;mailto:concessions@trgplc.com?subject=?
20;The Wilderness;27 Warstone Lane, Birmingham B18 6JQ England;;http://wearethewilderness.co.uk/;tel:+44 121 233 9425;mailto:hello@wearethewilderness.co.uk?subject=?
21;British Oak Public House;1364 Pershore Road Stirchley, Birmingham B30 2XS England;;http://www.facebook.com/British-Oak-786752981459400/;tel:+44 121 458 1758;mailto:bookingsbritishoak@gmail.com?subject=?
22;Eat;82-83 New Street, Birmingham B2 4BA England;;http://eat.co.uk/store-locations?full-list=true;tel:+44 121 632 5379;
23;Grillz Steakhouse;278-280 Ladypool Road, Birmingham B12 8JU England;;http://grillzsteakhouse.com;tel:+44 121 449 0476;mailto:grillzsteakhouse@hotmail.com?subject=?
24;Scottish Steak Club;New Street Burlington Arcade, Birmingham B2 4JQ England;;http://www.macdonaldhotels.co.uk/scottishsteakclub;tel:+44 121 633 1737;
25;The Bond Cafe;The Bond 180-182 Fazeley Street Set within the Bond Company in Canal Side setting, Birmingham B5 5SE England;;http://thebondco.net/cafe;tel:+44 121 766 7410;
26;Zumhof Biergarten;Progress Works 29 Heath Mill Lane, Birmingham B9 4AL England;;http://www.zumhof.co.uk/;tel:+44 161 817 3499;mailto:digbeth@zumhof.co.uk?subject=?
27;Mighty Bite Cafe;1223 Pershore Road, Birmingham England;;http://www.mighty-bite.co.uk/;tel:+44 121 459 2020;
28;Silver Hake Fish Bar and Restaurant;17 Olton Boulevard East, Birmingham B27 7RR England;;http://www.facebook.com/Silver-Hake-Fish-Bar-and-Restaurant-700289936705387/;tel:+44 7763 271187;
29;The Peking;134 Beacon Road, Birmingham B43 7BN England;;;tel:+44 121 360 8188;
30;The Towers Inn;The Towers Inn 636 Walsall Road Great Barr, Birmingham B42 1EY England;;http://www.sizzlingpubs.co.uk/thetowersinngreatbarr/;tel:+44 121 358 4627;
31;Zindabad;Unit 32 Star City Watson Road Unit # 07, Star City Centre, Birmingham B7 5SA England;;http://www.zindabad.uk;tel:+44 121 328 8855;mailto:zindabadstarcity@gmail.com?subject=?
32;The Gentleman & Scholar Pub and Terrace;2 Bridge Street Hyatt, Birmingham B1 2JZ England;;https://gentlemanandscholarpub.com;tel:+44 121 643 1234;mailto:birmingham.regency@hyatt.com?subject=?
33;China Court;24 Ladywell Walk, Birmingham B5 4ST England;;http://www.chinacourtbirmingham.co.uk/;tel:+44 121 666 7031;
34;Damascena Coffee House;Flat 1 17-21 Heritage Court 15 Warstone Lane, Birmingham B18 6HP England;;http://damascena.co.uk/contact-us-jewellery-quarter/;tel:+44 121 233 9932;mailto:jq@damascena.co.uk?subject=?
35;Merrymaid Bar & Grill;263 Moseley Road Highgate, Birmingham B12 0EA England;;https://www.facebook.com/TheMerrymaid/;tel:+44 121 440 3043;mailto:merrymaidpub@hotmail.com?subject=?
36;Brownie's;108 High Street Coleshill, Birmingham B46 3BL England;;http://www.browniesb46.com;tel:+44 7808 775366;
37;Viceroy Tandoori;109 Icknield St Jewellery Quarter, Birmingham B18 6RZ England;;http://www.viceroytandoori.com/;tel:+44 121 439 0607;mailto:mujib@viceroytandoori.co.uk?subject=?
38;The Glee Club;The Arcadian 70 Hurst Street, Birmingham B5 4TD England;;http://www.glee.co.uk/eating;;
39;Mouchak Street;528 Coventry Road, Birmingham B10 0UN England;;http://mouchakstreet.com/;tel:+44 121 753 5874;mailto:order@mouchakstreet.com?subject=?
40;Simla Spice;34 Queslett Road Great Barr, Birmingham B43 6PL England;;http://www.simlaspice.com;tel:+44 121 360 0530;mailto:info@simlaspice.com?subject=?
41;the station;7 High Street, Birmingham B14 7BB England;;;tel:+44 121 444 8749;
42;The Balti Room;1509 Pershore Road, Birmingham B30 2JL England;;http://thebaltiroombirmingham.co.uk/;tel:+44 121 458 1247;mailto:mosh_hussain@hotmail.com?subject=?
43;@Pizza;Unit 33 Grand Central Stephenson Place, Birmingham B2 4BF England;;http://www.atpizza.com;tel:+44 121 274 2836;mailto:grandcentral@atpizza.com?subject=?
44;Golden Rice;986 Tyburn Road, Birmingham B24 0TL England;;https://golden-rice-chinese-takeaway.business.site/;tel:+44 121 350 5467;
45;Big John's Highgate;291 Gooch Street Highgate, Birmingham B5 7JE England;;http://www.mybigjohns.com;tel:+44 121 446 4083;
46;Orchid Oriental;27 Watford Road Cotteridge, Birmingham B30 1JB England;;http://www.orchid-oriental.co.uk;tel:+44 121 458 3828;
47;the KEG & GRILL;Upper Gough Street, Birmingham B1 1JG England;;http://www.thekegandgrill.co.uk;tel:+44 7891 472489;mailto:gardy@thekegandgrill.co.uk?subject=?
48;Recess;1 Brunswick Square Brindleyplace, Birmingham B1 2HW England;;http://www.leisuretreats.co.uk/recess;tel:+44 121 643 1003;mailto:birminghambrindleyplace.recess@hilton.com?subject=?
49;Jordan's Cafe;9 The Green King's Norton, Birmingham B38 8SD England;;https://www.facebook.com/JordansCafeKingsNorton/;tel:+44 121 458 4454;
50;Kath's Cafe at Maypole;7 Idmiston Croft Maypole, Birmingham B14 5NJ England;;http://www.kathscafemaypole.co.uk/;tel:+44 121 430 7761;mailto:kathscafe14@gmail.com?subject=?
51;Tsukiji Japanese Restaurant;51 Station Street, Birmingham B5 4DY England;;http://www.Japanesetsukiji.co.uk;tel:+44 121 616 2888;mailto:info@japanesetsukiji.co.uk?subject=?
52;Silly Sausage Cafe;Imex Business Park Flaxley Road Unit 2, Imex Business Park, Birmingham B33 9AL England;;;tel:+44 121 789 8404;
53;Wanted Burgers;640 Bristol Road Selly Oak, Birmingham B29 6BJ England;;http://www.wantedburgers.co.uk;tel:+44 121 238 5274;mailto:wantedburgers@gmail.com?subject=?
54;Vietnamese Street Kitchen;Resorts World 40 Pendigo Way, Birmingham B40 1PU England;;http://vietnamesestreetkitchen.com/;tel:+44 121 781 0188;mailto:vietnamesestreetkitchen@gmail.com?subject=?
55;Only Foods and Sauces;900 Kingsbury Road, Birmingham B24 9PY England;;https://www.facebook.com/Onlyfoodnsaucescafe/?rf=1397603110518921;tel:+44 121 448 4540;
56;Pizza Hut Birmingham New St;135/137 New Street, Birmingham B2 4NS England;;https://www.pizzahut.co.uk/restaurants/find-a-hut/birmingham/birmingham-new-st/?utm_source=google&utm_medium=maps&utm_content=birminghamNewst&utm_campaign=googleplaces;tel:+44 121 643 2080;
57;Grace + James;23 York Road, Birmingham B14 7SA England;;https://www.facebook.com/graceandjameskh/;tel:+44 7834 557104;
58;Chillies Indian Takeaway;156 Woodthorpe Road, Birmingham B14 6EQ England;;http://www.facebook.com/chillies.kingsheath;tel:+44 121 443 4439;mailto:chillies.kingsheath@gmail.com?subject=?
59;Chilli Peppers;179 Weoley Castle Road, Birmingham B29 5QH England;;https://www.chillipeppersbalti.com/;tel:+44 121 428 1573;
60;Yorks Cafe;1 Oozells Square, Birmingham B1 2HS England;;http://www.yorkscafe.co.uk/yorks-ikon-gallery-birmingham;tel:+44 121 293 9186;mailto:ikon@yorkscafe.co.uk?subject=?
61;The Bierkeller;195-196 Broad Street, Birmingham B15 1AY England;;http://thebierkeller.com/birmingham;tel:+44 845 533 3000;mailto:info@thebierkeller.com?subject=?
62;Meatz Muntz St;15 Muntz Street, Birmingham B10 9SN England;;;tel:+44 121 439 7550;mailto:Meatzmuntzst@gmail.com?subject=?
63;The Old Horns;Queslett Road Great Barr, Birmingham B43 7EQ England;;http://www.sizzlingpubs.co.uk/theoldhornsgreatbarr/;tel:+44 121 366 7248;
64;Viceroy Tandoori;109 Icknield St Jewellery Quarter, Birmingham B18 6RZ England;;http://www.viceroytandoori.com/;tel:+44 121 439 0607;mailto:mujib@viceroytandoori.co.uk?subject=?
65;Rose Villa Pub;58 Branston Street, Birmingham B18 6BP England;;http://therosevillatavern.co.uk;tel:+44 121 236 7910;
66;YO! Birmingham Grand Central;Unit Grand Central Stephenson Place Stephensons Place, Birmingham B2 4BQ England;;https://yosushi.com/restaurants/birmingham-grand-central;tel:+44 121 227 4394;mailto:yo.grandcentral@yosushi.com?subject=?
67;Pizza Express - Birmingham The Citadel;4 The Citadel 190 Corporation Street, Birmingham B4 6QB England;;https://www.pizzaexpress.com/birmingham-the-citadel?utm_source=listings&utm_medium=Places&utm_campaign=birmingham-the-citadel;tel:+44 121 236 0221;mailto:birmingham1.manager@pizzaexpress.com?subject=?
68;Original Patty Men;9 Shaws Passage Digbeth, Birmingham B5 5JG England;;http://originalpattymen.com;tel:+44 121 643 2546;
69;Induz Indian Restaurant;11 Kings road Sutton Coldfield, Birmingham B73 5AB England;;http://www.induz.net;tel:+44 121 355 5089;mailto:info@induz.net?subject=?
70;@Pizza;Unit 33 Grand Central Stephenson Place, Birmingham B2 4BF England;;http://www.atpizza.com;tel:+44 121 274 2836;mailto:grandcentral@atpizza.com?subject=?
71;Ruby Cantonese;2A Barnsley Road Edgbaston, Birmingham B17 8ED England;;http://rubychineserestaurantedgbaston.co.uk/chinese-cantones-restaurantedgbaston-menus;tel:+44 121 429 8805;
72;Bournville Garden Centre;Bournville Garden Centre, Maple Road, Bournville Wyevale Garden Centre, Birmingham B30 2AE England;;http://britishgardencentres.com/bournville-garden-centre/?v=79cba1185463;tel:+44 121 472 0303;
73;Shahimahal;4 Coleshill Road Hodge Hill, Birmingham B36 8AA England;;http://www.shahimahal.co.uk/;tel:+44 121 783 3557;
74;Beefeater;1 High Street Longbridge, Birmingham B31 2UQ England;;https://www.beefeater.co.uk/;;
75;New Sum Ye;Unit B206 Arcadian Centre 70 Hurst Street, Birmingham B5 4TD England;;http://www.facebook.com/newsumye;tel:+44 121 622 1525;mailto:newsumye@hotmail.com?subject=?
76;Zindabad;Unit 32 Star City Watson Road Unit # 07, Star City Centre, Birmingham B7 5SA England;;http://www.zindabad.uk;tel:+44 121 328 8855;mailto:zindabadstarcity@gmail.com?subject=?
77;Momo’s Restaurant;5 Whitmore Road, Birmingham B10 0NR England;;;tel:+44 121 772 4000;
78;Ocean Dragon Japanese Restaurant;70 Hurst Street Arcadian Centre, Birmingham B5 4TD England;;http://www.ocean-dragon.com;tel:+44 121 622 4559;mailto:monaocean@hotmail.co.uk?subject=?
79;Jolpai;167-169 Station Road, Birmingham B33 8BA England;;http://www.jolpai.co.uk/;tel:+44 121 785 2775;
80;Gas Street Social;166-168 Wharfside Street The Mailbox, Birmingham B1 1RL England;;http://www.gasstreetsocial.co.uk;tel:+44 121 643 0362;mailto:book@gasstreetsocial.co.uk?subject=?
81;Ed's Easy Diner;King Edwards Road Arena Birmingham, South Car Park, Birmingham B1 2AA England;;https://edseasydiner.com/locations/birmingham-bca;tel:+44 121 233 4005;mailto:BirminghamBCA.Manager@edseasydiner.com?subject=?
82;Cafe 55;539-541 Bristol Road, Birmingham B29 6AU England;;http://www.cafe55.net/contact.html;tel:+44 121 471 4464;mailto:info@cafe55.net?subject=?
83;Bilal Sweets;218 Alum Rock Road Alum Rock, Birmingham B8 3DH England;;http://www.facebook.com/pages/Bilal-Sweets/204298166305284;tel:+44 121 328 3033;
84;The Vine Inn;Ruston Street, Birmingham B16 8BB England;;http://www.vinepub.com;tel:+44 121 454 7943;mailto:info@vinepub.com?subject=?
85;Poli;21 York Road, Birmingham B14 7SA England;;http://Www.wearepoli.co.uk;;mailto:Hello@wearepoli.co.uk?subject=?
86;Tap & Spile Restaurant;Gas Street Canalside, Birmingham B1 2JT England;;http://www.tapandspilerestaurant.co.uk/;tel:+44 121 632 5602;mailto:info@tapandspilefood.co.uk?subject=?
87;Bottega Birmingham;King Edwards Road Unit 1, Arena Birmingham, Birmingham B1 2AA England;;http://www.bottegabirmingham.co.uk/;tel:+44 121 274 4199;mailto:info@bottegabirmingham.co.uk?subject=?
88;Olympic Cafe;50 East Meadway, Birmingham B33 0AP England;;;tel:+44 121 783 3535;mailto:Olympic50@icloud.com?subject=?
89;Pinocchio Italiano;Mailbox, Unit 109 / 111, Wharfside Street, Birmingham B1 1RF England;;http://www.pinocchioitaliano.co.uk;tel:+44 121 439 9393;mailto:info@pinocchioitaliano.co.uk?subject=?
90;Cafe Munch;1169 Bristol Road South, Birmingham B31 2SL England;;;tel:+44 121 477 0805;
91;Chilli Spice;200 Streetly Road, Birmingham B23 7AL England;;http://hungryhouse.co.uk/chilli-spice-erdington?aid=4fe99398aea34&bid=11ba4842&utm_source=affiliate-qype&utm_medium=affiliate&utm_campaign=qype;tel:+44 121 350 2966;
92;Griiill;2 Drayton Road King's Heath, Birmingham B14 7LR England;;;tel:+44 7718 497777;
93;Al Rabie;392 Coventry Road, Birmingham B10 0UF England;;http://alrabierestaurant.co.uk/;tel:+44 121 753 5599;mailto:info@alrabierestaurant.co.uk?subject=?
94;Jacky's Kitchen;Unit 4 Southside, Bromsgrove St, Birmingham B5 6QB England;;;tel:+44 121 666 7187;
95;Tin Sing;5 Raddlebarn Road, Birmingham B29 6HJ England;;;tel:+44 121 472 3888;
96;Marco Pierre White Steakhouse, Bar & Grill Birmingham;200 Wharfside Street The Cube, Birmingham B1 1PR England;;http://mpwrestaurants.co.uk/our-brands/steakhouse-bar-and-grill/birmingham;tel:+44 121 634 3433;mailto:info@mpwsteakhousebirmingham.com?subject=?
97;Zindabad;Unit 32 Star City Watson Road Unit # 07, Star City Centre, Birmingham B7 5SA England;;http://www.zindabad.uk;tel:+44 121 328 8855;mailto:zindabadstarcity@gmail.com?subject=?
98;Rickshaw Express;1A Cornyx Lane, Birmingham B91 2SJ England;;http://www.RickShawExpress.com;tel:+44 121 705 7760;
99;Fazeley social;Fazeley Studios 191 Fazeley Street Digbeth, Birmingham B5 5SE England;;http://www.fazeleysocial.com;tel:+44 121 244 8228;mailto:Daniellesutor@googlemail.com?subject=?
100;The New Bell;128 Booths Farm Road, Birmingham B42 2NX England;;http://www.facebook.com/The-New-Bell-806633912846717/;tel:+44 121 357 0544;mailto:thenewbell@outlook.com?subject=?
101;Sidewalk;125-127 Hurst Street, Birmingham B5 6SE England;;http://www.sidewalkbirmingham.co.uk;tel:+44 121 666 6220;
102;@Pizza;Unit 33 Grand Central Stephenson Place, Birmingham B2 4BF England;;http://www.atpizza.com;tel:+44 121 274 2836;mailto:grandcentral@atpizza.com?subject=?
103;Clare's Cafe;69 Collingwood Drive, Birmingham B43 7JW England;;;tel:+44 7824 664813;
104;Arabesque Restaurant & Grill;86 Leopold Street Highgate, Birmingham B12 0UD England;;http://www.facebook.com/arabesquegrill/;tel:+44 121 753 0481;mailto:arabesquelounge2013@gmail.com?subject=?
105;The Indian Eatery;2 Gospel Farm Road Hall Green, Birmingham B27 7JN England;;http://WWW.THEINDIANEATERY.COM;tel:+44 121 238 4763;
106;Trader Cafe;824 Bristol Road South, Birmingham B31 2NS England;;http://www.cafeb31.com;tel:+44 121 318 8102;
107;Greggs;14A Stephenson Place, Birmingham B2 4PY England;;https://www.greggs.co.uk/;tel:+44 121 643 0323;
108;The Clock Cafe;900 Bristol Road South Northfield, Birmingham B31 2NS England;;https://www.facebook.com/pages/category/Fast-Food-Restaurant/The-Clock-Cafe-338073526344075/;tel:+44 121 477 7266;
109;Dolphin Twins Fish Bar;998 Tyburn Road Sutton Coldfield, Birmingham B24 0TL England;;http://www.facebook.com/DolphinTwinsFishBar;tel:+44 121 382 3491;mailto:info@dolphintwins.co.uk?subject=?
110;Falafel Munch (Selly Oak);640 Bristol Road, Birmingham B29 6BJ England;;https://falafel-munch-selly-oak.business.site;tel:+44 7778 888601;
111;Miss Korea;155 Bromsgrove Street, Birmingham B5 6AB England;;https://www.facebook.com/MissKoreaRestaurant/;tel:+44 7837 427120;
112;Rozu Restaurant & Cocktail Lounge;Upper Floor Arcadian Centre 70 Hurst Street, Birmingham B5 4TD England;;http://www.rozurestaurant.com;tel:+44 121 389 0974;mailto:Reservations@rozurestaurant.com?subject=?
113;Tennis Court;Walsall Road, Birmingham B42 1TY England;;https://www.greatukpubs.co.uk/thetenniscourtsperrybarr/?utm_source=google&utm_medium=local_seo_gmb&utm_content=website;tel:+44 121 356 8124;mailto:tenniscourt.perrybarr@stonegatepubs.com?subject=?
114;Hotel Chocolat;117 New Street, Birmingham B2 4JH England;;http://www.hotelchocolat.com/uk;tel:+44 121 643 3798;
115;Gymmy's Healthy Grill;527 Moseley Road, Birmingham B12 9BU England;;https://www.facebook.com/GymmysGrill-1552252311734052/;tel:+44 121 258 2209;
116;Balti Bites;1545 Pershore Road, Birmingham B30 2JH England;;https://www.facebook.com/baltibites/;tel:+44 121 459 3269;
117;Little Dessert Shop;65-67 Parade High Street Kings Heath, Birmingham B14 7BH England;;https://www.facebook.com/LDSKingsHeath/;tel:+44 121 444 8811;mailto:kingsheath@littledessertshop.co.uk?subject=?
118;Sahara Shisha Lounge Ltd;Unit 1 55 Erskine Street, Birmingham B7 4RU England;;http://www.saharashishalounge.co.uk;tel:+44 7974 000400;mailto:saharashishaloungeltd@gmail.com?subject=?
119;Stirlings Bar Lounge & Eatery;21 Ludgate Hill, Birmingham B3 1DW England;;http://www.Stirlingsbar.co.uk;tel:+44 121 439 2121;mailto:info@StirlingsBar.co.uk?subject=?
120;Snobs Bar & Grill;51 Smallbrook Queensway, Birmingham B5 4HX England;;http://www.snobsnightclub.co.uk;tel:+44 121 643 5551;
121;Bromford Fish Bar;107 Bromford Lane, Birmingham B24 8JR England;;;tel:+44 121 373 7605;
122;Topokki;Unit 1C Hurst Street, Birmingham B5 4TD England;;http://www.topokki.co.uk;tel:+44 121 666 7200;
123;Raj's Spice;34 High Street, Birmingham B35 7PR England;;http://www.rajsspice.co.uk;tel:+44 121 747 4999;
124;Mei's Cuisine;Indoor Market 50 Edgbaston Street Bullring Indoor Market, Birmingham B5 4RQ England;;;tel:+44 7714 993168;
125;Felsons;Regency Wharf 266 Broad Street, Birmingham B1 2DS England;;http://www.walkaboutbars.com/about;tel:+44 7500 115776;
126;Zindabad;Unit 32 Star City Watson Road Unit # 07, Star City Centre, Birmingham B7 5SA England;;http://www.zindabad.uk;tel:+44 121 328 8855;mailto:zindabadstarcity@gmail.com?subject=?
127;Milan Sweet Centre;191 Stoney Lane, Birmingham B12 8HB England;;http://www.milansweetcentre.co.uk/;tel:+44 121 449 1617;mailto:info@milansweetcentre.co.uk?subject=?
128;Cosy Club Brindleyplace;Unit 9F The Waters Edge, Birmingham B1 2HL England;;http://cosyclub.co.uk/;tel:+44 121 546 0438;mailto:bookings@cosyclub.co.uk?subject=?
129;Centenary Brasserie & Bar at The Rep;Broad Street 6 Centenary Square, Birmingham B1 2EP England;;http://www.birmingham-rep.co.uk;tel:+44 121 245 2078;mailto:centenary@searcys.co.uk?subject=?
130;Gaucho Birmingham;55 Colmore Row Lower Ground Retail, Birmingham B3 2AA England;;http://www.gauchorestaurants.com/restaurants/birmingham/;tel:+44 121 439 9236;mailto:Birmingham@gauchorestaurants.com?subject=?
131;Macdonald Burlington Hotel;6 Burlington Arcade 126 New Street Burlington Arcade, Birmingham B2 4JQ England;;;tel:+44 344 879 9019;
132;@Pizza;Unit 33 Grand Central Stephenson Place, Birmingham B2 4BF England;;http://www.atpizza.com;tel:+44 121 274 2836;mailto:grandcentral@atpizza.com?subject=?
133;Domain Bar & Restaurant;121 Soho Road, Birmingham B21 9ST England;;http://domaincatering.com;tel:+44 121 515 4477;mailto:sales@domaincatering.com?subject=?
134;The Highbury Inn;Dads Lane Junction of Moor Green Lane, Birmingham B13 8PQ England;;http://www.highburypub.co.uk/;tel:+44 121 414 1529;mailto:info@highburypub.co.uk?subject=?
135;Mad Hatter's Cafe;7 Hollybank Road, Birmingham B13 0RF England;;https://www.facebook.com/Mad-Hatters-Cafe-121601034712620/;tel:+44 7928 723264;
136;Perry Hill Tavern;23 Perry Hill Road, Birmingham B68 0AR England;;http://perryhilltavern.co.uk/;tel:+44 121 448 9650;mailto:info@perryhilltavern.co.uk?subject=?
137;Hungry Hobbit;312 Wake Green Road, Birmingham B13 0BN England;;;tel:+44 121 702 2674;
138;Digbeth Kitchen;67 High Street Digbeth, Birmingham B5 6DH England;;http://digbeth.org/digbeth-kitchen/;tel:+44 121 622 4936;
139;The Colonial Pavilion;Westboure Road, Birmingham England;;;;
140;Lee Garden;59 - 61 Birmingham Road Sutton Coldfield, Birmingham England;;http://www.leegardensuttoncoldfield.co.uk/;tel:+44 121 355 2834;
141;East Meadway Chinese Take-Away;60 East Meadway, Birmingham B33 0AP England;;;tel:+44 121 789 7167;
142;Moonlight Cuisine;671 Kingstanding Road Kingstanding, Birmingham B44 9RH England;;;tel:+44 121 354 2444;mailto:moonlightcuisinebirmingham@gmail.com?subject=?
143;Xiong Qi Hot Pot;41 Essex Street, Birmingham B5 4TR England;;http://www.boing4u.co.uk;tel:+44 121 448 2620;
144;Ten Ichi;The Arcadian 70 Hurst Street The Arcadian, The Arcadian Centre, Birmingham B5 4TD England;;http://tenichi.co.uk/;tel:+44 121 622 4559;mailto:info@tenichi.co.uk?subject=?
145;Abu Zayd;412 Coventry Road, Birmingham B10 0UF England;;;;
146;Cafelicious;147 New Road Rubery, Birmingham B45 9JW England;;http://WWW.CAFE-LICIOUS.COM;tel:+44 121 453 2252;mailto:CAFELICIOUS@HOTMAIL.CO.UK?subject=?
147;Plant and Pulse;9 The Minories, Birmingham B4 6AG England;;http://www.plantandpulse.co.uk;tel:+44 7549 381346;mailto:rob@plantandpulse.co.uk?subject=?
148;Sprinklez Barista Bar & Dessert Lounge;144 Church Rd, Birmingham England;;http://sprinklez.co.uk/index.php;tel:+44 121 682 3366;
149;Tung Lok Restaurant;Unit 1, China Court Building, Bath Passage, Ladywell Walk, Birmingham B5 4ST England;;;tel:+44 121 622 3086;
150;Chaska&Chaii;142-144 Ladypool Road, Birmingham B12 8JA England;;https://chaskaandchaii.com;tel:+44 121 753 4409;mailto:info@chaskaandchaii.com?subject=?
151;Ort Cafe;500-504 Moseley Road Balsall Heath, Birmingham England;;http://ortcafe.co.uk/;;
152;The High Field;22 Highfield Road Edgbaston, Birmingham B15 3DP England;;http://www.highfieldedgbaston.co.uk/;tel:+44 121 227 7068;mailto:highfield@peachpubs.com?subject=?
153;Elements;Novotel Birmingham airport, Birmingham England;;;;
154;The Bull's Head;Lime kiln lane, Birmingham England;;;tel:+44 1564 700368;
155;Shogun Sushi Bar & Teppan-Yaki;Wharfside Street The Cube, Level 7, Birmingham B1 1RN England;;https://www.shoguncube.com/;tel:+44 121 643 8800;mailto:info@shoguncube.com?subject=?
156;@Pizza;Unit 33 Grand Central Stephenson Place, Birmingham B2 4BF England;;http://www.atpizza.com;tel:+44 121 274 2836;mailto:grandcentral@atpizza.com?subject=?
157;The Vaults;Newhall Place Newhall Hill, Birmingham B1 3JH England;;http://www.vaultsbirmingham.com/;tel:+44 121 212 9837;
158;Tonkotsu Birmingham;Selfridges & Co, The Bullring, Upper Mall East, Birmingham England;;http://www.tonkotsu.co.uk/page/contact;tel:+44 121 600 6715;
159;Jolly Bengali;269 Bearwood Road, Birmingham B66 4NA England;;http://jollybengalitakeaway.co.uk;tel:+44 121 420 2999;
160;Mac Hallal;10 Muntz Street, Birmingham B10 9SN England;;https://mac-hallal.business.site/;tel:+44 121 679 4209;
161;Purbobagh;886 Washwood Heath Road, Birmingham B8 2NB England;;http://www.purbobaghrestaurant.com;;mailto:info@purbobaghrestaurant.com?subject=?
162;Azims Balti Restaurant;106-108 Lozells Road, Birmingham B19 2TB England;;http://www.supermeal.co.uk/azims-balti-restaurant-b19;tel:+44 121 523 5349;
163;Pizza Hut - Star City;Unit 4 Wharton Street Industrial Estate Wharton Street Star City, Birmingham B7 5TR England;;https://www.pizzahut.co.uk/restaurants/find-a-hut/birmingham/star-city/?utm_source=google&utm_medium=maps&utm_content=starcity&utm_campaign=googleplaces;tel:+44 121 327 9666;
164;670 Grams;4 Gibb Street, Birmingham B9 4BF England;;;;
165;Apocalypse Cow;Ghetto Golf Custard Factory, Gibb Street, Digbeth, Birmingham B9 4AA England;;https://www.ghettogolf.co.uk/birmingham/;tel:+44 345 557 1288;mailto:enquiriesbirmingham@ghettogolf.co.uk?subject=?
166;Ralph's Bar;Unit 1-4 Broadway Plaza 220 Ladywood Middleway, Birmingham B16 8LP England;;;tel:+44 121 454 2211;mailto:info@ralphs.uk.com?subject=?
167;Unik Burgers;1 Knowle Road, Birmingham B11 3AJ England;;http://www.facebook.com/unikburgers/;tel:+44 7935 859925;mailto:unikburger@gmail.com?subject=?
